FID,DISTRICTID,STATE_ABBR,NAME,LAST_NAME,PARTY,STATE,REP_VOT,DEM_VOT,OTH_VOT,TOT_VOT,CDID,idmatch
409,4823,TX,Tony Gonzales,Gonzales,Republican,Texas,151578,145969,4321,301868,TX23,TX_23
200,4824,TX,Beth Van Duyne,Van Duyne,Republican,Texas,161671,180609,5509,347789,TX24,TX_24
410,4825,TX,Roger Williams,Williams,Republican,Texas,216248,177875,6885,401008,TX25,TX_25
411,4826,TX,Michael C. Burgess,Burgess,Republican,Texas,248196,185956,7321,441473,TX26,TX_26
412,4827,TX,Michael Cloud,Cloud,Republican,Texas,170876,104470,3711,279057,TX27,TX_27
201,4828,TX,Henry Cuellar,Cuellar,Democrat,Texas,115266,125463,3051,243780,TX28,TX_28
202,4829,TX,Sylvia R. Garcia,Garcia,Democrat,Texas,52937,106229,1916,161082,TX29,TX_29
395,4803,TX,Van Taylor,Taylor,Republican,Texas,214359,209859,7811,432029,TX03,TX_3
203,4830,TX,Eddie Bernice Johnson,Johnson,Democrat,Texas,50270,212373,3371,266014,TX30,TX_30
413,4831,TX,John R. Carter,Carter,Republican,Texas,204096,192599,8512,405207,TX31,TX_31
204,4832,TX,Colin Z. Allred,Allred,Democrat,Texas,151944,187919,5440,345303,TX32,TX_32
205,4833,TX,Marc A. Veasey,Veasey,Democrat,Texas,41209,117340,2232,160781,TX33,TX_33
206,4834,TX,Filemon Vela,Vela,Democrat,Texas,98386,106812,2006,207204,TX34,TX_34
207,4835,TX,Lloyd Doggett,Doggett,Democrat,Texas,84766,187992,5527,278285,TX35,TX_35
414,4836,TX,Brian Babin,Babin,Republican,Texas,221600,82881,3712,308193,TX36,TX_36
396,4804,TX,Pat Fallon,Fallon,Republican,Texas,257487,84709,4284,346480,TX04,TX_4
397,4805,TX,Lance Gooden,Gooden,Republican,Texas,172395,107494,3470,283359,TX05,TX_5
398,4806,TX, , ,Republican,Texas,175101,164746,4864,344711,TX06,TX_6
194,4807,TX,Lizzie Fletcher,Fletcher,Democrat,Texas,143176,170060,4329,317565,TX07,TX_7
399,4808,TX,Kevin Brady,Brady,Republican,Texas,274224,109291,5213,388728,TX08,TX_8
195,4809,TX,Al Green,Green,Democrat,Texas,54944,178908,2514,236366,TX09,TX_9
415,4901,UT,Blake Moore,Moore,Republican,Utah,230315,113344,15161,358820,UT01,UT_1
416,4902,UT,Chris Stewart,Stewart,Republican,Utah,207621,148903,13597,370121,UT02,UT_2
417,4903,UT,John R. Curtis,Curtis,Republican,Utah,225831,131844,17014,374689,UT03,UT_3
418,4904,UT,Burgess Owens,Owens,Republican,Utah,201373,166191,16483,384047,UT04,UT_4
419,5101,VA,Robert J. Wittman,Wittman,Republican,Virginia,233151,213139,8455,454745,VA01,VA_1
214,5110,VA,Jennifer Wexton,Wexton,Democrat,Virginia,189314,281722,9720,480756,VA10,VA_10
215,5111,VA,Gerald E. Connolly,Connolly,Democrat,Virginia,112774,280187,8012,400973,VA11,VA_11
209,5102,VA,Elaine Luria,Luria,Democrat,Virginia,168746,184886,7883,361515,VA02,VA_2
210,5103,VA,Robert C. “Bobby” Scott,Scott,Democrat,Virginia,107942,230143,6629,344714,VA03,VA_3
211,5104,VA,A. Donald McEachin,McEachin,Democrat,Virginia,146803,245932,6784,399519,VA04,VA_4
420,5105,VA,Bob Good,Good,Republican,Virginia,217584,183170,6594,407348,VA05,VA_5
421,5106,VA,Ben Cline,Cline,Republican,Virginia,231005,149404,8858,389267,VA06,VA_6
212,5107,VA,Abigail Davis Spanberger,Spanberger,Democrat,Virginia,223199,228179,8422,459800,VA07,VA_7
213,5108,VA,"Donald S. Beyer, Jr.",Beyer,Democrat,Virginia,84711,311470,8600,404781,VA08,VA_8
422,5109,VA,H. Morgan Griffith,Griffith,Republican,Virginia,244958,98609,5037,348604,VA09,VA_9
208,5000,VT,Peter Welch,Welch,Democrat,Vermont,112704,242820,11904,367428,VT00,VT_At-Large
216,5301,WA,Suzan K. DelBene,DelBene,Democrat,Washington,166460,257631,15068,439159,WA01,WA_1
222,5310,WA,Marilyn Strickland,Strickland,Democrat,Washington,157058,216800,14642,388500,WA10,WA_10
217,5302,WA,Rick Larsen,Larsen,Democrat,Washington,145138,257291,14504,416933,WA02,WA_2
423,5303,WA,Jaime Herrera Beutler,Beutler,Republican,Washington,214391,198429,13369,426189,WA03,WA_3
424,5304,WA,Dan Newhouse,Newhouse,Republican,Washington,179022,122691,9623,311336,WA04,WA_4
425,5305,WA,Cathy McMorris Rodgers,Rodgers,Republican,Washington,215706,178895,14847,409448,WA05,WA_5
218,5306,WA,Derek Kilmer,Kilmer,Democrat,Washington,168250,244141,15731,428122,WA06,WA_6
219,5307,WA,Pramila Jayapal,Jayapal,Democrat,Washington,58832,410067,12304,481203,WA07,WA_7
220,5308,WA,Kim Schrier,Schrier,Democrat,Washington,190801,218274,13463,422538,WA08,WA_8
221,5309,WA,Adam Smith,Smith,Democrat,Washington,88993,265393,9817,364203,WA09,WA_9
429,5501,WI,Bryan Steil,Steil,Republican,Wisconsin,220664,182938,6853,410455,WI01,WI_1
223,5502,WI,Mark Pocan,Pocan,Democrat,Wisconsin,136439,323807,7890,468136,WI02,WI_2
430,5503,WI,Ron Kind,Kind,Democrat,Wisconsin,202659,184306,7689,394654,WI03,WI_3
224,5504,WI,Gwen Moore,Moore,Democrat,Wisconsin,71698,242003,4970,318671,WI04,WI_4
431,5505,WI,Scott Fitzgerald,Fitzgerald,Republican,Wisconsin,255819,187858,7518,451195,WI05,WI_5
432,5506,WI,Glenn Grothman,Grothman,Republican,Wisconsin,232818,170457,7465,410740,WI06,WI_6
